TEAM,WINS,LOSSES,WIN_PCT,POINT_DIFF,ELO,HOME_WIN_PCT,AWAY_WIN_PCT,CONFERENCE,SEED
Detroit Pistons,56,25,0.691358024691358,4.246913580246914,1596.7024420999378,0.75,0.6341463414634146,East,1
Boston Celtics,54,28,0.6585365853658537,4.121951219512195,1637.790372411733,0.6585365853658537,0.6585365853658537,East,2
Cleveland Cavaliers,51,31,0.6219512195121951,3.073170731707317,1596.5515744326394,0.6585365853658537,0.5853658536585366,East,3
New York Knicks,50,31,0.6172839506172839,3.2839506172839505,1581.417930410157,0.675,0.5609756097560976,East,4
Atlanta Hawks,46,36,0.5609756097560976,2.2439024390243905,1591.5682541858473,0.5609756097560976,0.5609756097560976,East,5
Orlando Magic,45,34,0.569620253164557,1.4430379746835442,1554.691257024902,0.625,0.5128205128205128,East,6
Philadelphia 76ers,45,37,0.5487804878048781,1.024390243902439,1526.8670090496869,0.5609756097560976,0.5365853658536586,East,7
Toronto Raptors,44,38,0.5365853658536586,1.2439024390243902,1485.4000104751462,0.5365853658536586,0.5365853658536586,East,8
Miami Heat,43,39,0.524390243902439,1.0,1492.3683680966103,0.6341463414634146,0.4146341463414634,East,9
Charlotte Hornets,42,40,0.5121951219512195,0.36585365853658536,1552.365077653842,0.4878048780487805,0.5365853658536586,East,10
Milwaukee Bucks,38,44,0.4634146341463415,-1.0975609756097562,1495.0212937218785,0.5121951219512195,0.4146341463414634,East,11
Chicago Bulls,33,49,0.4024390243902439,-1.5121951219512195,1437.5079247517197,0.4146341463414634,0.3902439024390244,East,12
Washington Wizards,23,59,0.2804878048780488,-7.7560975609756095,1332.557546292534,0.34146341463414637,0.21951219512195122,East,13
Indiana Pacers,21,61,0.25609756097560976,-5.487804878048781,1360.9464431949475,0.3170731707317073,0.1951219512195122,East,14
Brooklyn Nets,20,62,0.24390243902439024,-7.2926829268292686,1274.8913894541624,0.24390243902439024,0.24390243902439024,East,15
Oklahoma City Thunder,65,16,0.8024691358024691,8.839506172839506,1740.467326019158,0.8292682926829268,0.775,West,1
San Antonio Spurs,57,24,0.7037037037037037,4.888888888888889,1665.3190127923847,0.8,0.6097560975609756,West,2
Denver Nuggets,51,31,0.6219512195121951,2.5365853658536586,1578.1561316885152,0.6585365853658537,0.5853658536585366,West,3
Houston Rockets,50,32,0.6097560975609756,3.1463414634146343,1566.1057899866269,0.6829268292682927,0.5365853658536586,West,4
Minnesota Timberwolves,49,33,0.5975609756097561,2.3902439024390243,1547.3794291668617,0.6585365853658537,0.5365853658536586,West,5
Los Angeles Lakers,48,34,0.5853658536585366,1.8780487804878048,1530.0982230136217,0.6341463414634146,0.5365853658536586,West,6
Phoenix Suns,48,34,0.5853658536585366,0.975609756097561,1539.1944168018351,0.6097560975609756,0.5609756097560976,West,7
Golden State Warriors,43,39,0.524390243902439,1.829268292682927,1542.5119625376974,0.5853658536585366,0.4634146341463415,West,8
Los Angeles Clippers,43,39,0.524390243902439,0.9024390243902439,1555.0287799596865,0.5609756097560976,0.4878048780487805,West,9
Portland Trail Blazers,40,42,0.4878048780487805,0.17073170731707318,1502.2101586442484,0.5365853658536586,0.43902439024390244,West,10
Memphis Grizzlies,27,53,0.3375,-4.35,1350.0080626262702,0.35,0.325,West,11
New Orleans Pelicans,26,56,0.3170731707317073,-5.878048780487805,1382.2595187499867,0.36585365853658536,0.2682926829268293,West,12
Dallas Mavericks,25,56,0.30864197530864196,-4.617283950617284,1345.4282735990705,0.36585365853658536,0.25,West,13
Utah Jazz,23,59,0.2804878048780488,-6.170731707317073,1306.4649186905679,0.34146341463414637,0.21951219512195122,West,14
Sacramento Kings,19,63,0.23170731707317074,-5.2926829268292686,1332.7211024677265,0.2926829268292683,0.17073170731707318,West,15
